ID,注册时间,注册资本,行业,区域,企业类型,控制人类型,控制人持股比例,flag
28,2007,2050,交通运输业,福建,农民专业合作社,企业法人,NA,1
230,2008,3360,服务业,广东,农民专业合作社,企业法人,1,1
429,2005,9670,工业,江西,集体所有制企业,自然人,0.75,1
693,2011,8360,社区服务,山东,股份有限公司,企业法人,0.98,1
727,2001,8720,零售业,江西,股份有限公司,企业法人,0.54,1
990,2014,8440,社区服务,广西,集体所有制企业,自然人,0.75,1
1137,2002,2240,商业服务业,广东,有限责任公司,企业法人,0.83,1
1274,2001,5350,零售业,广西,集体所有制企业,自然人,0.85,1
1560,2000,7000,工业,湖南,农民专业合作社,自然人,0.61,1
1873,2006,6370,社区服务,山东,农民专业合作社,企业法人,0.53,1
2260,2010,9030,社区服务,江西,有限责任公司,自然人,0.51,1
2694,2008,NA,商业服务业,山东,股份有限公司,企业法人,0.85,1
2992,2007,2670,工业,广西,合伙企业,自然人,0.97,1
3261,2000,5560,NA,广东,股份有限公司,自然人,0.65,1
3313,2000,8360,服务业,福建,股份有限公司,自然人,0.72,1
3537,2013,4450,交通运输业,山东,农民专业合作社,企业法人,0.71,1
3719,2005,6340,服务业,江西,农民专业合作社,自然人,0.68,1
3720,2003,640,零售业,湖南,农民专业合作社,企业法人,0.99,1
3742,2010,7750,零售业,广东,有限责任公司,自然人,0.81,1
3770,2011,9640,零售业,湖南,农民专业合作社,自然人,0.53,1
4107,2004,7980,社区服务,广西,股份有限公司,企业法人,0.96,1
4321,2005,8290,服务业,湖北,集体所有制企业,自然人,0.92,1
4911,2001,8180,服务业,广东,有限责任公司,企业法人,0.56,1
5267,2014,1810,社区服务,福建,农民专业合作社,自然人,0.81,1
5646,2010,230,零售业,江西,股份有限公司,企业法人,0.99,1
6172,2000,1470,工业,江西,合伙企业,自然人,0.58,1
6357,2001,3650,服务业,湖南,农民专业合作社,自然人,0.86,1
6370,2009,1180,交通运输业,NA,集体所有制企业,自然人,0.89,1
7662,2005,9400,服务业,广东,合伙企业,自然人,0.75,1
7706,2007,580,商业服务业,福建,股份有限公司,自然人,0.93,1
7824,2013,7930,交通运输业,广西,集体所有制企业,企业法人,0.95,1
7865,2004,8660,交通运输业,江西,有限责任公司,自然人,0.95,1
8444,2014,2560,零售业,湖北,集体所有制企业,企业法人,0.67,1
8492,2013,2080,商业服务业,湖北,有限责任公司,企业法人,0.77,1
8608,2005,7990,服务业,湖北,有限责任公司,企业法人,0.74,1
8663,2006,920,服务业,山东,合伙企业,企业法人,0.89,1
8854,2005,7830,社区服务,山东,合伙企业,企业法人,0.57,1
8872,2001,8880,服务业,江西,股份有限公司,企业法人,0.92,1
8972,2004,920,社区服务,福建,集体所有制企业,企业法人,0.59,1
9095,2007,6600,工业,山东,合伙企业,自然人,0.56,1
9124,2012,480,零售业,湖南,农民专业合作社,企业法人,0.8,1
9476,2002,9660,商业服务业,湖北,有限责任公司,自然人,0.93,1
9542,2007,8650,零售业,江西,有限责任公司,自然人,0.59,1
9663,2003,1410,商业服务业,江西,有限责任公司,自然人,0.96,1
9998,2009,8100,工业,广东,农民专业合作社,企业法人,0.75,1
10470,2007,4580,交通运输业,湖南,农民专业合作社,企业法人,0.94,1
10813,2010,9930,零售业,山东,合伙企业,自然人,0.82,1
10869,2004,9140,NA,福建,集体所有制企业,企业法人,0.97,1
10994,2006,7530,社区服务,湖北,股份有限公司,企业法人,0.93,1
10995,2001,4980,零售业,福建,合伙企业,自然人,0.53,1
10999,2001,1740,社区服务,广西,农民专业合作社,企业法人,0.76,1
11796,2007,6190,服务业,湖北,合伙企业,企业法人,0.96,1
12192,2012,2820,工业,福建,农民专业合作社,自然人,0.79,1
12233,2013,2200,交通运输业,山东,农民专业合作社,自然人,0.81,1
12404,2013,5700,服务业,广西,集体所有制企业,企业法人,0.67,1
12418,2000,480,零售业,湖北,股份有限公司,自然人,0.65,1
12660,2010,8600,服务业,福建,集体所有制企业,自然人,0.97,1
13491,2011,4740,工业,湖北,NA,企业法人,0.97,1
13593,2003,360,社区服务,广西,有限责任公司,自然人,0.81,1
13957,2002,7970,交通运输业,湖北,合伙企业,企业法人,0.75,1
14254,2005,4400,服务业,湖北,有限责任公司,自然人,0.88,1
14485,2006,7090,商业服务业,广东,合伙企业,企业法人,0.84,1
14520,2005,1100,服务业,湖北,有限责任公司,自然人,0.53,1
14555,2013,650,零售业,湖北,农民专业合作社,自然人,0.67,1
15099,2006,2710,工业,江西,股份有限公司,自然人,0.53,1
15197,2006,6590,商业服务业,广东,集体所有制企业,企业法人,0.54,1
15385,2004,1620,工业,湖南,集体所有制企业,企业法人,0.77,1
15416,NA,9420,社区服务,湖北,合伙企业,企业法人,0.55,1
15685,2002,2150,零售业,江西,农民专业合作社,自然人,0.86,1
15886,2001,900,工业,湖南,股份有限公司,自然人,0.86,1
16069,2013,960,服务业,广东,有限责任公司,企业法人,0.92,1
16326,2013,3210,工业,湖北,集体所有制企业,企业法人,0.56,1
16758,2010,920,商业服务业,山东,农民专业合作社,企业法人,0.95,1
16884,2002,8430,社区服务,山东,股份有限公司,企业法人,0.59,1
16999,2004,9060,零售业,福建,集体所有制企业,自然人,0.87,1
17641,2011,5740,工业,湖南,集体所有制企业,自然人,0.54,1
17646,2011,6370,工业,福建,股份有限公司,自然人,0.98,1
18216,2009,8100,商业服务业,山东,集体所有制企业,自然人,NA,1
18366,2013,1530,零售业,广东,合伙企业,自然人,0.94,1
18509,2003,6540,商业服务业,江西,合伙企业,企业法人,0.8,1
18837,2006,9360,服务业,福建,农民专业合作社,自然人,0.54,1
18932,2008,710,交通运输业,福建,股份有限公司,自然人,0.78,1
19112,2004,5850,交通运输业,湖南,农民专业合作社,企业法人,0.71,1
19317,2011,1410,商业服务业,广西,股份有限公司,自然人,0.76,1
19501,2003,1620,服务业,山东,有限责任公司,自然人,0.54,1
19559,2009,3990,社区服务,NA,股份有限公司,自然人,0.71,1
19651,2009,2310,交通运输业,广西,农民专业合作社,企业法人,0.82,1
19876,2012,9980,零售业,湖北,合伙企业,自然人,0.6,1
20333,2002,540,工业,湖北,股份有限公司,企业法人,0.83,1
20540,2001,2000,服务业,广东,合伙企业,企业法人,0.89,1
20686,2006,4960,服务业,湖北,集体所有制企业,自然人,0.56,1
20812,2014,3750,零售业,湖南,集体所有制企业,自然人,0.52,1
20853,2004,1630,社区服务,广东,农民专业合作社,自然人,0.92,1
20921,2001,8390,工业,广西,有限责任公司,企业法人,0.52,1
21044,2006,1830,商业服务业,湖北,股份有限公司,自然人,0.85,1
21593,2003,4690,零售业,广东,农民专业合作社,企业法人,0.81,1
21913,2012,2600,零售业,山东,合伙企业,自然人,0.91,1
21933,2001,9850,商业服务业,福建,农民专业合作社,企业法人,0.68,1
21985,2014,3420,零售业,山东,股份有限公司,企业法人,0.8,1
22166,2008,4500,零售业,江西,农民专业合作社,企业法人,0.98,1
22549,2001,4760,商业服务业,福建,农民专业合作社,企业法人,0.6,1
22785,2004,4290,社区服务,广东,股份有限公司,自然人,1,1
22869,2001,8910,工业,广东,合伙企业,自然人,0.58,1
23208,2008,5330,服务业,山东,股份有限公司,企业法人,0.59,1
23245,2000,7040,交通运输业,广西,有限责任公司,自然人,0.76,1
23491,2001,6160,交通运输业,广东,农民专业合作社,自然人,0.97,1
23961,2013,5960,商业服务业,福建,集体所有制企业,自然人,0.89,1
24265,2013,8230,服务业,广东,有限责任公司,自然人,0.75,1
24611,2003,9710,交通运输业,福建,集体所有制企业,自然人,0.51,1
24623,2013,6200,服务业,福建,合伙企业,企业法人,0.76,1
25111,2005,3500,商业服务业,广东,股份有限公司,企业法人,0.51,1
25208,2004,6910,零售业,广东,股份有限公司,自然人,0.98,1
25529,2002,9600,零售业,福建,农民专业合作社,企业法人,0.99,1
25732,2008,9900,零售业,广东,股份有限公司,企业法人,0.69,1
25947,2006,4720,交通运输业,广西,股份有限公司,企业法人,0.64,1
26293,2000,610,工业,湖南,股份有限公司,企业法人,0.79,1
26448,2004,3920,工业,山东,合伙企业,企业法人,0.83,1
26730,2005,2250,零售业,湖北,股份有限公司,企业法人,0.65,1
26885,2003,4660,商业服务业,广东,集体所有制企业,企业法人,0.96,1
26888,2009,9970,交通运输业,福建,有限责任公司,企业法人,0.77,1
27003,2009,NA,零售业,湖南,合伙企业,自然人,0.89,1
27258,2006,990,商业服务业,广西,集体所有制企业,企业法人,0.87,1
27622,2001,9420,零售业,湖北,集体所有制企业,企业法人,0.6,1
27678,2009,5980,商业服务业,广西,有限责任公司,自然人,0.8,1
27935,2006,3680,工业,山东,合伙企业,企业法人,0.68,1
28415,2002,7660,工业,湖南,集体所有制企业,自然人,0.55,1
28529,2014,7780,服务业,江西,有限责任公司,企业法人,0.85,1
29118,2002,410,商业服务业,NA,合伙企业,企业法人,1,1
29357,2012,8260,商业服务业,福建,股份有限公司,企业法人,0.83,1
29403,2009,6620,工业,广东,股份有限公司,企业法人,0.57,1
29427,2008,7680,交通运输业,湖南,农民专业合作社,自然人,0.94,1
29593,2005,8600,交通运输业,山东,合伙企业,企业法人,0.89,1
29601,2013,1660,零售业,湖南,农民专业合作社,企业法人,0.55,1
29967,2000,4630,社区服务,广东,集体所有制企业,自然人,0.74,1
29976,2008,6040,社区服务,湖南,集体所有制企业,自然人,0.93,1
30132,2012,4150,交通运输业,福建,集体所有制企业,企业法人,0.65,1
30246,2001,NA,工业,广西,股份有限公司,自然人,0.9,1
30264,2014,7170,零售业,福建,有限责任公司,自然人,0.72,1
30302,2003,6730,零售业,湖北,农民专业合作社,自然人,0.77,1
30369,2002,640,服务业,湖南,集体所有制企业,企业法人,0.74,1
31143,2000,2370,交通运输业,湖北,股份有限公司,自然人,0.69,1
31438,NA,3320,交通运输业,山东,股份有限公司,企业法人,0.89,1
31622,2001,9900,零售业,湖南,集体所有制企业,自然人,0.67,1
31842,2000,2200,工业,广东,合伙企业,自然人,0.77,1
32128,2011,7670,交通运输业,广西,合伙企业,企业法人,0.93,1
32253,2004,2320,服务业,广东,有限责任公司,企业法人,0.83,1
32388,2008,1920,商业服务业,山东,股份有限公司,企业法人,0.86,1
32579,2001,9240,服务业,江西,农民专业合作社,企业法人,0.53,1
32676,2007,8980,服务业,广东,合伙企业,自然人,0.69,1
32760,2006,1420,零售业,广西,股份有限公司,企业法人,0.58,1
32969,2004,5800,交通运输业,福建,集体所有制企业,自然人,0.86,1
32995,2007,6760,社区服务,江西,有限责任公司,自然人,0.94,1
33282,2014,1480,交通运输业,江西,集体所有制企业,自然人,0.99,1
34049,2001,6790,服务业,山东,NA,自然人,0.59,1
34074,2011,720,工业,福建,农民专业合作社,自然人,0.59,1
34248,2011,5020,社区服务,山东,有限责任公司,企业法人,0.54,1
34308,2006,3780,服务业,江西,集体所有制企业,自然人,0.79,1
34470,2013,7300,零售业,广东,股份有限公司,自然人,0.51,1
34569,2014,9120,零售业,湖北,股份有限公司,企业法人,0.74,1
34772,2013,6490,社区服务,江西,有限责任公司,自然人,0.6,1
34823,2013,5590,社区服务,福建,有限责任公司,企业法人,0.52,1
35119,2002,270,交通运输业,福建,合伙企业,自然人,0.71,1
35426,2011,5530,交通运输业,湖南,股份有限公司,自然人,0.74,1
35492,2004,2790,社区服务,广东,合伙企业,企业法人,0.64,1
35662,2012,1410,零售业,湖北,农民专业合作社,自然人,0.82,1
35703,2008,370,交通运输业,广东,有限责任公司,自然人,0.52,1
35750,2001,540,社区服务,江西,集体所有制企业,自然人,0.92,1
35844,2005,590,交通运输业,江西,合伙企业,自然人,0.92,1
35887,2006,9620,社区服务,湖南,合伙企业,自然人,0.99,1
36046,2008,5500,商业服务业,湖南,股份有限公司,自然人,1,1
36360,2013,7600,工业,福建,集体所有制企业,自然人,0.52,1
36679,2006,8460,服务业,湖南,农民专业合作社,自然人,0.53,1
36727,2010,4630,社区服务,福建,农民专业合作社,自然人,0.77,1
36740,2005,3790,工业,山东,股份有限公司,企业法人,0.67,1
36941,2010,7090,零售业,山东,农民专业合作社,企业法人,0.58,1
37342,2011,6120,社区服务,湖北,合伙企业,自然人,0.73,1
37412,2003,2750,交通运输业,江西,股份有限公司,自然人,0.86,1
37653,2008,1520,商业服务业,广东,有限责任公司,企业法人,0.73,1
37721,2007,3170,零售业,广东,股份有限公司,企业法人,0.8,1
38023,2005,4910,交通运输业,福建,集体所有制企业,企业法人,0.85,1
38032,2012,390,社区服务,湖北,有限责任公司,自然人,0.83,1
38062,2002,7810,零售业,江西,有限责任公司,企业法人,0.75,1
38296,2005,5510,商业服务业,湖北,股份有限公司,自然人,0.56,1
38401,2010,9430,工业,湖北,合伙企业,企业法人,0.72,1
38406,2006,440,交通运输业,山东,有限责任公司,企业法人,0.99,1
38610,2003,7710,交通运输业,山东,农民专业合作社,自然人,0.98,1
38611,2012,6580,社区服务,广东,股份有限公司,企业法人,0.56,1
38714,2002,730,工业,福建,股份有限公司,自然人,0.65,1
38764,2003,4730,服务业,广东,农民专业合作社,自然人,0.53,1
38864,2010,8420,交通运输业,广西,合伙企业,NA,0.76,1
38946,2004,2690,零售业,江西,农民专业合作社,企业法人,0.68,1
39802,2002,8490,服务业,福建,集体所有制企业,企业法人,0.58,1
40190,2006,7390,商业服务业,广西,集体所有制企业,自然人,0.67,1
40231,2000,6520,社区服务,广东,集体所有制企业,企业法人,0.76,1
40950,2001,5720,工业,广西,合伙企业,企业法人,0.54,1
41027,2002,1800,交通运输业,NA,农民专业合作社,企业法人,0.58,1
41159,2006,7960,零售业,山东,合伙企业,企业法人,0.85,1
41345,2012,7690,交通运输业,湖北,有限责任公司,自然人,0.95,1
41405,NA,3450,服务业,福建,农民专业合作社,企业法人,0.91,1
41451,2007,3220,工业,湖北,合伙企业,自然人,0.96,1
41570,2005,6170,工业,山东,农民专业合作社,企业法人,0.78,1
41860,2008,7540,商业服务业,山东,有限责任公司,企业法人,0.69,1
41906,2001,9420,商业服务业,江西,有限责任公司,自然人,0.77,1
42114,2002,1220,社区服务,NA,集体所有制企业,NA,0.52,1
42406,2005,5500,交通运输业,江西,农民专业合作社,企业法人,0.58,1
42484,2001,4650,社区服务,广西,合伙企业,自然人,0.82,1
42739,2009,790,交通运输业,山东,农民专业合作社,企业法人,0.99,1
42770,2011,1640,零售业,山东,农民专业合作社,企业法人,0.54,1
43021,NA,3250,零售业,广东,集体所有制企业,自然人,0.98,1
44291,2001,8640,工业,湖南,集体所有制企业,企业法人,0.82,1
44974,2006,2330,工业,山东,农民专业合作社,自然人,0.87,1
45221,2008,1630,工业,山东,股份有限公司,自然人,0.99,1
45362,2000,4570,零售业,广西,农民专业合作社,企业法人,0.8,1
45750,2002,8700,工业,广东,农民专业合作社,自然人,0.86,1
45825,2001,7470,商业服务业,湖南,有限责任公司,企业法人,0.91,1
46259,2005,2330,工业,湖南,合伙企业,企业法人,0.91,1
46274,2013,2230,服务业,广东,集体所有制企业,企业法人,0.62,1
46556,2001,7790,服务业,湖南,合伙企业,自然人,0.52,1
46787,2003,4470,商业服务业,福建,合伙企业,企业法人,0.68,1
47053,2009,8380,商业服务业,江西,合伙企业,自然人,0.54,1
47264,2004,6930,商业服务业,广东,股份有限公司,自然人,0.71,1
47267,2001,2240,交通运输业,湖北,集体所有制企业,自然人,0.92,1
47352,2004,9330,商业服务业,山东,股份有限公司,自然人,0.52,1
47417,2001,8240,工业,湖北,有限责任公司,自然人,0.68,1
47464,2014,4180,商业服务业,广东,农民专业合作社,NA,0.97,1
47871,2008,1760,交通运输业,广东,有限责任公司,自然人,0.65,1
47964,2003,4570,交通运输业,江西,股份有限公司,企业法人,0.55,1
48204,2001,5810,社区服务,湖北,股份有限公司,企业法人,0.81,1
48222,2008,3810,商业服务业,湖南,集体所有制企业,自然人,0.77,1
48228,2014,5170,工业,广西,农民专业合作社,企业法人,0.55,1
48254,2010,5850,零售业,江西,农民专业合作社,企业法人,0.71,1
48272,2006,7870,交通运输业,江西,合伙企业,自然人,0.51,1
48367,2002,8600,零售业,广东,集体所有制企业,自然人,0.63,1
48533,2010,3910,零售业,广东,集体所有制企业,自然人,0.66,1
49019,2002,460,交通运输业,广西,股份有限公司,企业法人,0.83,1
49446,2000,7500,工业,广西,合伙企业,自然人,0.75,1
49469,2010,1190,零售业,湖北,集体所有制企业,自然人,0.53,1
49545,2008,3180,商业服务业,江西,集体所有制企业,自然人,0.99,1
49822,2005,7320,零售业,山东,农民专业合作社,企业法人,0.55,1
49879,2004,8650,服务业,山东,股份有限公司,自然人,0.66,1
50052,2001,8940,交通运输业,福建,合伙企业,企业法人,0.57,1
50164,2003,9630,交通运输业,山东,合伙企业,企业法人,0.58,1
50191,2002,2860,社区服务,江西,合伙企业,企业法人,0.88,1
50741,2007,6230,服务业,江西,集体所有制企业,企业法人,0.88,1
50937,2008,6550,工业,广东,集体所有制企业,自然人,0.53,1
51078,2014,1200,社区服务,广西,合伙企业,企业法人,0.93,1
51148,2005,270,社区服务,江西,股份有限公司,自然人,0.99,1
51343,2000,5860,服务业,湖南,有限责任公司,自然人,0.8,1
51422,2008,5460,服务业,广东,股份有限公司,自然人,0.81,1
51503,2006,4490,社区服务,福建,股份有限公司,企业法人,0.95,1
51832,2012,3100,NA,湖南,有限责任公司,自然人,0.93,1
51833,2014,1190,商业服务业,广东,集体所有制企业,自然人,0.68,1
51869,2010,2640,交通运输业,广东,合伙企业,自然人,0.74,1
52105,2000,7480,社区服务,湖南,股份有限公司,企业法人,0.78,1
52327,2000,7370,交通运输业,广西,合伙企业,NA,0.72,1
52328,2012,4050,工业,广东,合伙企业,自然人,0.7,1
52443,2007,910,商业服务业,广西,有限责任公司,自然人,0.82,1
52797,2003,2870,社区服务,江西,股份有限公司,企业法人,0.52,1
53346,2014,5420,服务业,福建,集体所有制企业,自然人,0.75,1
53589,2000,2760,交通运输业,江西,有限责任公司,企业法人,0.64,1
53829,2002,6790,工业,江西,集体所有制企业,自然人,0.98,1
54161,2007,3300,服务业,湖北,合伙企业,自然人,0.58,1
54328,2000,8730,零售业,湖南,农民专业合作社,自然人,0.7,1
54813,2013,7730,服务业,福建,股份有限公司,企业法人,0.53,1
55206,2002,2130,社区服务,广东,集体所有制企业,企业法人,0.69,1
55417,2000,5590,交通运输业,山东,股份有限公司,自然人,0.96,1
55465,2005,3560,交通运输业,湖北,股份有限公司,自然人,0.95,1
55990,2012,3210,商业服务业,福建,股份有限公司,自然人,0.62,1
56210,2009,4350,零售业,山东,农民专业合作社,自然人,0.62,1
56906,2003,4290,工业,广西,集体所有制企业,自然人,0.52,1
57172,2006,7470,零售业,广西,集体所有制企业,企业法人,0.76,1
57184,2004,2990,交通运输业,湖北,农民专业合作社,自然人,0.85,1
57345,2010,8730,工业,广西,NA,自然人,0.82,1
57449,2003,4310,交通运输业,福建,股份有限公司,自然人,0.53,1
57506,2005,4320,工业,福建,集体所有制企业,自然人,0.73,1
57751,2004,2030,工业,湖北,农民专业合作社,自然人,0.84,1
57799,2012,9500,零售业,湖南,有限责任公司,自然人,0.67,1
57871,2004,310,商业服务业,山东,股份有限公司,企业法人,0.52,1
58140,2001,1150,社区服务,广西,农民专业合作社,自然人,0.86,1
58233,2002,5560,服务业,广西,农民专业合作社,企业法人,0.62,1
58343,2007,2460,商业服务业,湖北,农民专业合作社,自然人,0.99,1
59433,2002,2710,工业,广东,集体所有制企业,自然人,0.9,1
59532,2002,1910,交通运输业,湖北,农民专业合作社,自然人,0.93,1
59684,2000,890,零售业,福建,股份有限公司,企业法人,0.92,1
59893,2010,2700,商业服务业,广东,NA,企业法人,1,1
59960,2005,2740,零售业,山东,有限责任公司,企业法人,0.69,1
60054,2001,9990,工业,山东,集体所有制企业,企业法人,0.98,1
60100,2000,9820,零售业,广东,集体所有制企业,企业法人,0.64,1
60247,2002,2580,社区服务,福建,有限责任公司,自然人,1,1
60704,2001,6640,商业服务业,广东,股份有限公司,企业法人,0.7,1
60954,2012,4380,商业服务业,湖南,农民专业合作社,企业法人,0.74,1
60979,2011,5330,社区服务,湖北,有限责任公司,自然人,0.61,1
61196,2013,8510,交通运输业,福建,股份有限公司,自然人,0.77,1
61570,2011,470,零售业,山东,集体所有制企业,企业法人,0.93,1
62254,2004,6200,商业服务业,广东,农民专业合作社,自然人,0.84,1
62367,2014,8540,商业服务业,广西,集体所有制企业,企业法人,0.55,1
62451,2011,2230,零售业,湖南,农民专业合作社,企业法人,0.71,1
62740,2012,3830,商业服务业,广东,有限责任公司,企业法人,0.81,1
62799,2002,9290,零售业,湖北,合伙企业,自然人,0.82,1
62889,2003,8170,服务业,湖北,集体所有制企业,企业法人,0.84,1
62957,2000,6500,服务业,湖南,集体所有制企业,自然人,0.68,1
63570,2009,7650,零售业,湖南,有限责任公司,自然人,0.65,1
63653,2006,4710,零售业,山东,农民专业合作社,自然人,0.65,1
63724,2012,9310,商业服务业,广西,集体所有制企业,自然人,0.55,1
64092,2010,8670,交通运输业,广西,集体所有制企业,自然人,0.6,1
64162,2009,6600,服务业,广西,股份有限公司,自然人,0.87,1
64176,2012,5750,服务业,广西,合伙企业,自然人,0.65,1
64721,2008,8380,服务业,湖南,股份有限公司,自然人,0.63,1
64736,2013,3530,服务业,福建,农民专业合作社,自然人,0.78,1
64925,2010,9030,交通运输业,福建,合伙企业,自然人,0.72,1
65075,2014,5450,服务业,湖南,合伙企业,自然人,0.85,1
65530,2008,4540,交通运输业,福建,有限责任公司,自然人,0.66,1
65679,2010,2060,服务业,湖南,有限责任公司,自然人,0.85,1
65722,2003,3020,商业服务业,福建,集体所有制企业,自然人,0.58,1
65868,2007,5790,社区服务,福建,合伙企业,自然人,0.61,1
66064,2003,8500,社区服务,广西,有限责任公司,企业法人,0.85,1
66460,2009,8040,NA,湖北,合伙企业,企业法人,0.9,1
66514,2010,5720,商业服务业,广西,股份有限公司,企业法人,0.59,1
66611,2013,8890,零售业,山东,股份有限公司,自然人,0.74,1
66612,2000,3000,社区服务,山东,农民专业合作社,自然人,0.84,1
67221,2010,3820,社区服务,山东,集体所有制企业,自然人,0.55,1
67236,2000,8800,服务业,广东,有限责任公司,企业法人,0.71,1
67350,2009,2960,服务业,广西,集体所有制企业,企业法人,0.9,1
67446,2003,7220,交通运输业,湖南,有限责任公司,自然人,0.94,1
67479,2010,5190,商业服务业,广西,股份有限公司,企业法人,0.65,1
67560,2004,5580,工业,NA,股份有限公司,企业法人,0.54,1
67601,2014,350,社区服务,湖南,股份有限公司,企业法人,0.92,1
69810,2013,570,零售业,湖南,合伙企业,企业法人,0.69,1
69817,2012,2780,交通运输业,广东,合伙企业,自然人,0.56,1
70257,2011,7100,社区服务,江西,合伙企业,自然人,0.52,1
70322,2001,5770,商业服务业,湖北,合伙企业,企业法人,0.83,1
70426,NA,9270,交通运输业,福建,农民专业合作社,企业法人,0.52,1
70469,2013,9930,商业服务业,广东,股份有限公司,企业法人,0.73,1
70567,2005,8630,社区服务,山东,合伙企业,企业法人,0.94,1
70682,2002,6350,社区服务,湖北,集体所有制企业,自然人,0.69,1
71205,2012,1230,交通运输业,广东,合伙企业,自然人,0.58,1
71313,2009,2510,工业,江西,农民专业合作社,企业法人,0.62,1
71329,2010,3960,交通运输业,山东,合伙企业,企业法人,0.75,1
71713,2013,9380,工业,广东,农民专业合作社,企业法人,0.67,1
71721,2005,5670,商业服务业,福建,集体所有制企业,自然人,0.81,1
72335,2007,3630,社区服务,广东,股份有限公司,自然人,0.81,1
73286,2004,9620,商业服务业,广西,合伙企业,企业法人,0.63,1
73401,2007,1440,商业服务业,湖北,合伙企业,自然人,0.66,1
73507,2013,4310,商业服务业,湖南,农民专业合作社,企业法人,0.95,1
73568,2006,3680,商业服务业,广东,股份有限公司,自然人,0.84,1
73593,2007,4670,零售业,广西,合伙企业,企业法人,0.52,1
73944,2011,1370,零售业,福建,农民专业合作社,企业法人,0.7,1
74454,2005,2960,交通运输业,山东,农民专业合作社,企业法人,0.52,1
74506,2007,100,零售业,湖北,股份有限公司,自然人,0.92,1
74690,2010,180,工业,福建,集体所有制企业,自然人,0.51,1
74812,2011,3730,社区服务,湖南,有限责任公司,自然人,0.98,1
74820,2002,2850,交通运输业,广西,股份有限公司,企业法人,0.87,1
74854,2001,3500,商业服务业,广西,集体所有制企业,自然人,0.57,1
75025,2013,7410,交通运输业,湖北,农民专业合作社,自然人,0.94,1
75936,2001,3020,零售业,江西,股份有限公司,企业法人,0.82,1
76474,2005,3240,服务业,江西,股份有限公司,自然人,0.91,1
76514,2007,7780,零售业,湖北,合伙企业,企业法人,0.72,1
76698,2006,5240,零售业,湖南,集体所有制企业,自然人,0.93,1
