ID,year,债权融资额度,债权融资成本,股权融资额度,股权融资成本,内部融资和贸易融资额度,内部融资和贸易融资成本,项目融资和政策融资额度,项目融资和政策融资成本
1500001,2015,0,0,0,0,0,0,334,20.04
1500321,2015,0,0,0,0,721022.4,43261.344,0,0
1500395,2015,0,0,0,0,0,0,8323.2,499.392
1500614,2015,0,0,31167.36,1246.6944,0,0,0,0
1501057,2015,0,0,0,0,490838.4,29450.304,0,0
1501449,2015,0,0,0,0,0,0,1142.4,68.544
1501967,2015,0,0,0,0,0,0,3672,220.32
1502041,2015,0,0,NA,393.984,0,0,0,0
1502067,2015,0,0,0,0,0,0,4720.8,283.248
1502243,2015,26075,2086,0,0,0,0,0,0
1502280,2015,0,0,0,0,9492,569.52,0,0
1502584,2015,0,0,3141.6,125.664,0,0,0,0
1503006,2015,2565,205.2,0,0,0,0,0,NA
1503369,2015,0,0,21014.4,840.576,0,0,0,0
1503926,2015,0,0,0,0,0,0,9336,560.16
1504434,2015,0,0,0,0,12894,773.64,0,0
1504745,2015,0,0,0,0,37088.4,2225.304,0,0
1504813,2015,6440,515.2,0,0,0,0,0,0
1505021,2015,0,0,0,0,178214.4,10692.864,0,0
1505078,2015,0,0,0,0,19062,1143.72,NA,0
1505225,2015,9150,732,0,0,0,0,0,0
1505270,2015,0,0,0,0,0,0,1279.5,76.77
1505351,2015,0,0,0,0,0,0,219.9,13.194
1505369,2015,18930,1514.4,0,0,NA,0,0,0
1505753,2015,4508,360.64,0,0,0,0,0,0
1505911,2015,0,0,0,0,375144,22508.64,0,0
1506083,2015,0,0,0,0,0,0,273.6,16.416
1506159,2015,0,0,0,0,0,0,874.8,52.488
1506268,2015,0,0,0,0,0,0,195.2,11.712
1506529,2015,0,0,0,0,8463,507.78,0,0
1507545,2015,0,0,0,0,0,0,5760,345.6
1507705,2015,0,0,0,0,123228,7393.68,0,0
1508078,2015,0,0,0,0,0,0,150,9
1508300,2015,0,0,3090,123.6,0,0,0,0
1508378,2015,0,0,0,0,0,0,1085,65.1
1508639,2015,0,0,0,0,48434.4,2906.064,0,0
1508716,2015,576,46.08,0,0,0,0,0,0
1510382,2015,1700,136,0,0,0,0,0,0
1510583,2015,0,0,66838.2,2673.528,0,0,0,0
1510832,2015,0,0,13397.4,535.896,0,0,0,0
1511001,2015,0,0,NA,0,31464,1887.84,0,0
1511006,2015,0,0,0,0,4338,260.28,0,0
1511038,2015,0,0,0,0,0,0,606,36.36
1511071,2015,0,0,0,0,0,0,10675,640.5
1511327,2015,0,0,2426.88,97.0752,0,0,0,0
1511390,2015,0,0,0,0,62244,3734.64,0,0
1511633,2015,2400,192,0,0,0,0,0,0
1511944,2015,0,0,1434.72,57.3888,0,0,0,0
1512286,2015,0,0,0,0,0,0,138,8.28
1512414,2015,0,0,723.84,28.9536,0,0,0,0
1512644,2015,0,0,0,0,0,0,534.4,32.064
1513238,2015,69225,5538,0,0,0,0,0,0
1513300,2015,2560,204.8,0,0,0,0,0,0
1513319,2015,0,0,0,0,4347,260.82,0,0
1513491,2015,7506,600.48,0,0,0,0,0,0
1513523,2015,0,0,0,0,11097.6,665.856,0,0
1513543,2015,0,0,0,0,0,0,962.5,57.75
1513612,2015,43875,3510,0,0,0,0,0,0
1513771,NA,18300,1464,0,0,0,0,0,0
1513846,2015,0,0,4304.64,172.1856,0,0,0,0
1513913,2015,0,0,362.24,14.4896,0,0,NA,0
1514073,2015,114,9.12,0,0,0,0,0,0
1514287,2015,0,0,3319.68,132.7872,0,0,0,0
1514456,2015,0,0,0,0,73632,4417.92,0,0
1514859,2015,0,0,0,0,0,0,478.8,28.728
1514971,2015,0,0,0,0,5475.6,328.536,0,0
1515386,2015,0,0,3790.8,151.632,0,0,0,0
1515632,2015,0,0,0,0,8064,483.84,0,0
1515769,2015,0,0,0,0,9360,561.6,0,0
1515839,2015,3376,270.08,0,0,0,0,0,0
1515871,2015,0,0,0,0,0,0,15732,943.92
1515919,2015,0,0,0,0,0,0,148.8,8.928
1516400,2015,0,0,0,0,0,0,3384,203.04
1516606,2015,0,0,0,0,0,0,10950,657
1516732,2015,18180,1454.4,0,0,0,0,0,NA
1516743,2015,0,0,55358.4,2214.336,0,0,0,0
1516890,2015,0,0,106.4,4.256,0,0,0,0
1516993,2015,0,0,0,0,0,0,10752,645.12
1517061,2015,0,0,0,0,0,0,2640,158.4
1517125,2015,16880,1350.4,0,0,0,0,0,0
1517424,2015,0,0,0,0,30139.2,1808.352,0,0
1517776,2015,0,0,0,0,0,0,5802,348.12
1517809,2015,0,0,0,0,0,0,4737.6,284.256
1517844,2015,1800,144,NA,0,0,0,0,0
1517864,2015,0,0,4688.64,187.5456,0,0,0,0
1517886,2015,2184,174.72,0,0,0,NA,0,0
1518087,2015,0,0,0,0,0,0,1018.8,61.128
1518318,2015,0,0,0,0,171417.6,10285.056,0,0
1518425,2015,0,0,0,0,58500,3510,0,0
1519109,2015,0,0,4449.12,177.9648,0,0,0,0
1519114,2015,6030,482.4,0,0,0,0,0,0
1519252,2015,0,0,0,0,0,0,703.2,42.192
1519515,2015,0,0,109491.2,4379.648,0,NA,0,0
1519586,2015,0,0,0,0,0,0,3123,187.38
1519595,2015,0,0,0,0,17774.1,1066.446,0,0
1519760,2015,0,0,3694.08,147.7632,0,0,0,0
1520230,2015,0,0,12224,488.96,0,0,0,0
1520235,2015,0,0,0,0,0,0,960,57.6
1520882,2015,0,0,0,0,0,0,2444.4,146.664
1520907,2015,4800,384,0,0,0,0,0,0
1521133,2015,0,0,0,0,0,0,4703.4,282.204
1521202,2015,0,0,0,0,11054.4,663.264,0,0
1521636,2015,0,0,1864.8,74.592,0,0,0,0
1521892,2015,0,0,0,0,NA,301.68,0,0
1522023,2015,0,0,0,0,0,0,1022.4,61.344
1522152,2015,3828,NA,0,0,0,0,0,0
1522375,2015,0,0,0,0,0,0,94.4,5.664
1522430,2015,0,0,0,0,0,0,1064,63.84
1522507,2015,0,0,0,0,42422.4,2545.344,0,0
1522618,2015,0,0,2229.76,89.1904,0,0,0,0
1523136,2015,29640,2371.2,NA,0,0,0,0,0
1523287,2015,0,0,0,0,0,0,2081.7,124.902
1523583,2015,0,NA,107.28,4.2912,0,0,0,0
1523804,2015,0,0,0,0,27849.6,1670.976,0,0
1523906,2015,0,0,0,0,0,0,939.4,56.364
1524414,2015,0,0,22311,892.44,0,0,0,0
1524478,2015,0,0,0,0,11682,700.92,0,0
1524505,2015,0,0,0,0,0,0,382.4,22.944
1524619,2015,330,26.4,0,0,0,0,0,0
1524724,2015,0,0,0,0,0,0,155.2,9.312
1524900,2015,0,0,368.64,14.7456,0,0,0,0
1525188,2015,0,0,0,0,2415,144.9,0,0
1525366,2015,0,0,0,0,27518.4,1651.104,0,0
1525478,2015,0,0,0,0,33037.2,1982.232,0,0
1525939,2015,5724,457.92,0,0,0,0,0,0
1526009,2015,0,0,0,0,0,0,4023,241.38
1526225,2015,0,0,0,0,0,0,4062.5,243.75
1526718,2015,0,0,0,0,433152,25989.12,0,0
1526808,2015,0,0,23620.8,944.832,0,0,0,0
1526853,2015,0,0,0,0,0,0,NA,384.48
1526953,2015,0,0,7363.44,294.5376,0,0,0,0
1527101,2015,0,0,0,0,468,28.08,0,0
1527896,2015,0,0,0,0,60449.4,3626.964,0,0
1527897,2015,0,0,0,0,10413,624.78,0,0
1527962,2015,0,0,2400,96,0,0,0,0
1528324,2015,0,0,0,0,0,0,4200,252
1528326,2015,0,0,0,0,4084.8,245.088,0,0
1528739,2015,21792,1743.36,0,NA,0,0,0,0
1528976,2015,0,0,0,0,0,0,2280,136.8
1529280,2015,7840,627.2,0,0,0,0,0,0
1529359,2015,0,0,2020.8,80.832,0,0,0,0
1529596,2015,0,0,0,0,0,0,452,27.12
1529945,2015,1500,120,0,0,0,0,0,0
1500001,2016,0,0,0,0,84168,5050.08,0,0
1500321,2016,0,0,0,0,0,0,6997.5,419.85
1500395,2016,11271,901.68,0,0,0,0,0,0
1500614,2016,0,0,0,0,69570,4174.2,0,0
1501057,2016,0,0,67415.04,2696.6016,0,0,0,0
1501449,2016,0,0,62653.5,2506.14,0,0,0,0
1501967,2016,0,0,30600,1224,0,0,0,0
1502041,2016,0,0,0,0,0,0,8892,533.52
1502067,2016,0,0,0,0,284512.5,17070.75,0,0
1502243,2016,0,0,10489.6,419.584,0,0,0,0
1502280,2016,0,0,7973.28,318.9312,0,0,0,0
1502584,2016,0,0,7854,314.16,0,0,0,0
1503006,2016,4560,364.8,0,0,0,0,0,0
1503369,2016,0,0,0,0,16716,1002.96,0,0
1503926,2016,21006,1680.48,0,0,0,0,0,0
1504434,2016,0,0,0,0,16946.4,1016.784,NA,0
1504745,2016,0,0,0,0,0,0,1196.4,71.784
1504813,2016,0,0,38640,1545.6,0,0,0,0
1505021,2016,0,0,0,0,70761.6,4245.696,0,0
1505078,2016,4236,338.88,0,0,0,0,0,0
1505225,2016,2745,219.6,0,0,0,0,0,0
1505270,2016,0,0,0,0,92124,5527.44,0,0
1505351,2016,0,0,0,0,0,0,1466,87.96
1505369,2016,0,0,1388.2,55.528,0,0,0,0
1505753,2016,3864,309.12,0,0,0,0,0,0
1505911,2016,0,0,0,0,0,0,1670.4,100.224
1506083,2016,0,0,0,0,0,0,513,30.78
1506159,2016,0,0,0,0,0,0,8164.8,489.888
1506268,2016,0,0,0,0,0,0,219.6,13.176
1506529,2016,0,0,735,29.4,0,0,0,0
1507545,2016,0,0,16220.16,648.8064,0,0,0,0
1507705,2016,0,0,15648,625.92,0,0,0,0
1508078,2016,0,0,0,0,31500,1890,0,0
1508300,2016,0,0,7580.8,303.232,0,0,0,0
1508378,2016,12400,992,0,0,0,0,0,0
1508639,2016,0,0,NA,126.852,0,0,0,0
1508716,NA,0,0,138.24,5.5296,0,0,0,0
1510382,2016,3400,272,0,0,0,0,0,0
1510583,2016,0,0,0,0,587202,35232.12,0,0
1510832,2016,0,0,0,0,0,0,7939.2,476.352
1511001,2016,0,0,3461.04,138.4416,0,0,0,0
1511006,2016,0,0,0,0,0,0,289.2,17.352
1511038,2016,0,0,13453.2,538.128,0,0,0,0
1511071,2016,0,0,0,0,0,0,1372.5,82.35
1511327,2016,0,0,2844,113.76,0,0,0,0
1511390,2016,0,0,0,0,0,0,4560,273.6
1511633,2016,2400,192,0,0,0,0,0,0
1511944,2016,0,0,0,0,0,0,1366.4,81.984
1512286,2016,0,0,0,0,0,0,747.5,44.85
1512414,2016,2088,167.04,0,0,0,0,0,0
1512644,2016,0,0,6279.2,251.168,0,0,0,0
1513238,2016,59072,4725.76,0,0,0,0,0,0
1513300,2016,0,0,1105.92,44.2368,0,0,NA,0
1513319,2016,0,0,0,0,0,0,184,11.04
1513491,2016,0,0,0,0,0,0,12510,750.6
1513523,2016,0,0,0,0,10404,624.24,0,0
1513543,2016,0,0,1470,58.8,0,0,0,0
1513612,2016,0,0,0,0,0,0,11700,702
1513771,2016,0,0,0,0,0,0,1372.5,82.35
1513846,2016,0,0,0,0,708,42.48,0,0
1513913,2016,8490,679.2,0,0,0,0,0,0
1514073,2016,0,0,0,0,0,0,152,9.12
1514287,2016,0,NA,30643.2,1225.728,0,0,0,0
1514456,2016,3304,264.32,0,0,0,0,0,0
1514859,2016,2394,191.52,0,0,0,0,0,0
1514971,2016,0,0,0,0,8923.2,535.392,0,0
1515386,2016,0,0,0,0,55598.4,3335.904,0,0
1515632,2016,12600,1008,0,0,0,0,0,0
1515769,2016,33800,2704,0,0,0,0,0,0
1515839,2016,0,0,0,0,0,0,1266,75.96
1515871,2016,0,0,0,0,0,0,2272.4,136.344
1515919,2016,1488,119.04,0,0,0,0,0,0
1516400,2016,0,0,0,0,154310.4,9258.624,0,0
1516606,2016,0,0,0,0,0,0,2102.4,126.144
1516732,2016,0,0,16362,654.48,0,0,0,0
1516743,2016,0,0,0,0,0,0,2670.8,160.248
1516890,2016,0,0,2091.52,83.6608,0,0,0,0
1516993,2016,0,0,0,0,0,0,13824,829.44
1517061,2016,0,0,0,0,0,0,3379.2,202.752
1517125,2016,46420,3713.6,0,0,0,0,0,0
1517424,2016,0,0,0,0,0,0,16146,968.76
1517776,2016,0,0,0,0,501292.8,30077.568,0,0
1517809,2016,0,0,0,0,56851.2,3411.072,0,0
1517844,2016,0,0,0,0,74520,4471.2,0,0
1517864,2016,0,0,0,0,0,0,1065.6,63.936
1517886,2016,1248,99.84,0,0,0,0,0,0
1518087,2016,NA,0,0,0,55185,3311.1,0,0
1518318,2016,25920,2073.6,0,0,0,0,0,0
1518425,2016,0,0,0,0,0,0,1400,84
1519109,2016,0,0,0,0,0,0,725.4,43.524
1519114,2016,0,0,0,0,130147.5,7808.85,0,0
1519252,2016,0,0,12376.32,495.0528,0,0,0,0
1519515,2016,12480,998.4,0,0,0,0,0,0
1519586,2016,0,0,0,0,299808,17988.48,0,0
1519595,2016,0,0,0,0,35956.8,2157.408,0,0
1519760,2016,0,0,0,0,0,0,481,28.86
1520230,2016,0,0,0,0,115516.8,6931.008,0,0
1520235,2016,0,0,0,0,0,0,320,19.2
1520882,2016,0,0,41904,1676.16,0,0,0,0
1520907,2016,0,0,0,0,9216,552.96,0,0
1521133,2016,8710,696.8,0,0,0,0,0,0
1521202,2016,0,0,0,0,25267.2,1516.032,0,0
1521636,2016,3108,248.64,0,0,0,0,0,0
1521892,2016,0,0,14882.88,595.3152,0,0,0,0
1522023,2016,7384,590.72,0,0,0,0,0,0
1522152,2016,0,0,0,0,23446.5,1406.79,0,0
1522375,2016,2360,188.8,0,0,0,0,0,0
1522430,2016,0,0,0,0,71820,4309.2,0,0
1522507,2016,0,0,0,0,0,0,4419,265.14
1522618,2016,15678,1254.24,0,0,0,0,0,0
1523136,2016,0,0,0,0,47424,2845.44,0,0
1523287,2016,0,0,0,0,0,0,3084,185.04
1523583,2016,0,0,0,0,80460,4827.6,0,0
