ID,专利,商标,著作权
1500001,0,0,0
1500321,0,0,0
1500395,1,1,0
1500614,0,0,0
1501057,0,1,1
1501449,0,0,0
1501967,0,0,0
1502041,0,1,1
1502067,1,1,0
1502243,1,1,1
1502280,0,0,0
1502584,1,1,0
1503006,0,0,0
1503369,1,1,1
1503926,0,0,0
1504434,0,1,0
1504745,1,0,0
1504813,NA,1,0
1505021,0,1,0
1505078,0,0,0
1505225,1,1,0
1505270,0,0,0
1505351,1,NA,1
1505369,1,1,1
1505753,0,0,0
1505911,0,0,1
1506083,0,0,0
1506159,0,0,0
1506268,1,1,0
1506529,1,1,0
1507545,1,1,1
1507705,0,0,0
1508078,0,0,0
1508300,0,0,0
1508378,1,1,1
1508639,1,1,0
1508716,0,0,0
1510382,1,1,0
1510583,0,0,0
1510832,0,0,0
1511001,0,0,0
1511006,0,0,0
1511038,1,1,1
1511071,1,1,0
1511327,0,0,0
1511390,0,0,0
1511633,1,0,0
1511944,1,0,1
1512286,1,1,1
1512414,1,0,1
1512644,1,NA,1
1513238,0,0,0
1513300,0,0,1
1513319,0,0,0
1513491,0,1,1
1513523,1,1,0
1513543,0,0,0
1513612,0,0,0
1513771,0,0,0
1513846,1,0,1
1513913,NA,0,0
1514073,0,0,0
1514287,0,1,0
1514456,1,1,0
1514859,1,1,1
1514971,1,0,1
1515386,1,0,0
1515632,1,1,1
1515769,1,0,1
1515839,0,1,1
1515871,0,0,0
1515919,0,0,0
1516400,1,1,1
1516606,0,0,0
1516732,0,1,1
1516743,1,0,0
1516890,0,0,0
1516993,1,0,1
1517061,0,0,0
1517125,0,0,0
1517424,0,1,0
1517776,1,0,1
1517809,0,0,0
1517844,0,0,0
1517864,1,1,0
1517886,1,0,1
1518087,0,0,0
1518318,1,0,1
1518425,1,0,1
1519109,1,1,1
1519114,NA,0,1
1519252,0,1,1
1519515,0,1,0
1519586,0,1,1
1519595,0,0,0
1519760,0,0,0
1520230,0,0,0
1520235,1,0,NA
1520882,1,1,0
1520907,0,1,1
1521133,0,1,0
1521202,0,1,1
1521636,1,1,0
1521892,0,0,0
1522023,0,1,1
1522152,1,1,1
1522375,1,1,1
1522430,1,1,0
1522507,0,0,0
1522618,0,0,0
1523136,0,0,0
1523287,0,1,0
1523583,0,0,0
1523804,0,1,1
1523906,0,0,0
1524414,0,1,0
1524478,1,1,0
1524505,0,1,1
1524619,1,1,1
1524724,0,1,0
1524900,0,1,1
1525188,0,0,0
1525366,0,1,0
1525478,1,1,1
1525939,0,0,1
1526009,1,0,0
1526225,0,1,1
1526718,1,0,1
1526808,0,0,0
1526853,0,NA,1
1526953,1,1,1
1527101,0,0,0
1527896,0,0,0
1527897,0,0,NA
1527962,0,0,0
1528324,0,0,0
1528326,1,1,0
1528739,0,0,0
1528976,0,0,0
1529280,0,0,1
1529359,0,0,0
1529596,1,1,0
1529945,0,0,0
1530029,1,1,0
1530553,0,0,0
1530732,1,0,1
1530777,0,0,0
1530981,1,1,NA
1531028,0,0,0
1531103,0,1,1
1531354,0,0,0
1531382,1,1,0
1531823,NA,0,0
1531870,1,0,1
1531975,0,0,0
1532103,1,1,1
1532325,0,1,1
1532387,1,0,0
1532409,0,0,0
1532743,1,1,1
1532784,0,1,0
1532937,0,0,0
1533285,0,1,1
1533388,0,0,1
1533480,0,0,0
1533776,0,0,0
1534034,0,NA,0
1534531,1,1,1
1534705,0,0,0
1535213,1,NA,1
1535816,1,0,1
1536051,1,1,0
1536142,0,0,0
1536192,0,0,0
1536728,0,0,1
1537229,NA,1,0
1537333,1,0,1
1537540,0,0,0
1537612,1,0,0
1537739,0,0,0
1537885,1,0,1
1538213,1,1,1
1538281,0,0,0
1538455,0,0,0
1539014,0,1,1
1539040,1,1,1
1539261,0,0,0
1540121,0,0,0
1540157,0,0,0
1540298,0,1,0
1540401,1,1,0
1540450,0,0,0
1541192,0,0,0
1541304,0,0,0
1541635,0,0,1
1541753,0,1,1
