ID,专利,商标,著作权
28,0,1,1
230,0,0,0
429,1,0,0
693,0,0,0
727,0,0,0
990,0,0,0
1137,0,0,0
1274,0,0,0
1560,0,1,0
1873,1,1,0
2260,1,1,0
2694,0,0,1
2992,0,0,0
3261,0,0,0
3313,0,0,0
3537,0,1,1
3719,0,0,0
3720,0,0,1
3742,0,1,1
3770,1,1,0
4107,0,0,0
4321,0,1,0
4911,NA,0,0
5267,1,1,1
5646,0,1,0
6172,1,1,1
6357,1,0,1
6370,1,1,0
7662,0,1,0
7706,0,0,0
7824,1,0,1
7865,0,0,0
8444,0,0,0
8492,1,1,1
8608,1,0,1
8663,1,1,1
8854,0,0,0
8872,0,0,0
8972,1,1,NA
9095,1,0,0
9124,0,0,0
9476,0,1,1
9542,1,0,1
9663,0,0,0
9998,0,1,1
10470,0,1,1
10813,NA,0,0
10869,0,0,0
10994,0,0,0
10995,1,1,1
10999,1,0,0
11796,0,0,0
12192,0,0,1
12233,1,1,0
12404,1,1,1
12418,0,0,0
12660,0,0,0
13491,0,1,1
13593,1,1,0
13957,0,0,0
14254,0,0,0
14485,0,0,1
14520,0,0,0
14555,1,1,0
15099,1,1,1
15197,1,1,1
15385,0,0,0
15416,0,1,1
15685,0,0,0
15886,1,1,1
16069,1,0,0
16326,0,1,1
16758,1,0,0
16884,1,0,1
16999,1,0,1
17641,0,0,0
17646,1,0,1
18216,0,0,0
18366,0,0,0
18509,0,0,0
18837,1,1,0
18932,1,0,1
19112,0,0,0
19317,0,0,0
19501,0,1,0
19559,0,0,0
19651,1,1,0
19876,0,0,0
20333,0,0,0
20540,1,1,1
20686,0,0,0
20812,0,0,0
20853,0,0,0
20921,0,0,0
21044,0,1,1
21593,0,0,0
21913,0,0,0
21933,0,0,0
21985,0,1,1
22166,0,0,0
22549,0,0,0
22785,1,0,1
22869,0,0,0
23208,0,0,0
23245,0,1,1
23491,1,1,0
23961,0,0,0
24265,0,0,0
24611,0,0,0
24623,0,1,1
25111,0,0,0
25208,0,0,0
25529,0,0,0
25732,1,0,1
25947,0,1,0
26293,0,0,0
26448,1,1,0
26730,1,1,0
26885,0,0,0
26888,1,1,0
27003,1,1,0
27258,0,0,0
27622,0,NA,0
27678,0,0,0
27935,0,0,0
28415,1,0,1
28529,0,1,1
29118,1,0,NA
29357,0,0,0
29403,0,1,1
29427,1,0,1
29593,0,1,1
29601,1,0,0
29967,1,NA,0
29976,0,1,1
30132,0,1,0
30246,0,0,0
30264,0,0,1
30302,0,0,0
30369,0,1,0
31143,0,0,0
31438,0,0,0
31622,0,0,1
31842,0,1,1
32128,0,0,0
32253,0,0,0
32388,0,1,0
32579,0,0,1
32676,1,0,1
32760,0,0,0
32969,0,0,0
32995,1,0,0
33282,0,1,1
34049,1,1,0
34074,1,1,0
34248,1,1,1
34308,1,1,0
34470,0,0,0
34569,1,1,0
34772,0,1,1
34823,NA,1,0
35119,1,0,0
35426,0,1,1
35492,1,1,0
35662,0,1,1
35703,0,0,0
35750,0,0,1
35844,0,0,0
35887,1,1,1
36046,0,1,1
36360,1,0,1
36679,0,1,1
36727,1,0,1
36740,1,0,1
36941,1,1,0
37342,0,0,0
37412,0,0,0
37653,0,0,0
37721,0,0,0
38023,0,1,1
38032,1,1,0
38062,0,0,1
38296,1,1,1
38401,1,0,1
38406,0,0,0
38610,0,0,0
38611,0,0,0
38714,0,0,0
38764,0,0,0
38864,1,0,1
38946,0,1,0
39802,0,1,0
40190,0,0,0
40231,1,1,1
40950,1,1,0
41027,0,1,1
41159,0,0,0
41345,1,1,1
41405,1,0,1
41451,0,1,0
41570,0,1,1
41860,0,0,0
41906,0,1,0
42114,1,1,0
42406,1,1,1
42484,0,0,0
42739,1,0,1
42770,0,1,0
43021,1,0,0
44291,0,0,0
44974,0,0,0
45221,0,0,0
45362,1,0,1
45750,0,0,0
45825,0,1,1
46259,0,0,0
46274,0,1,0
46556,0,0,0
46787,1,0,0
47053,0,0,0
47264,0,0,0
47267,0,1,0
47352,0,0,0
47417,1,0,1
47464,0,1,1
47871,0,0,0
47964,1,1,0
48204,0,0,0
48222,1,1,1
48228,0,1,0
48254,1,0,1
48272,0,0,0
48367,0,0,0
48533,1,0,1
49019,0,0,0
49446,0,0,0
49469,0,0,1
49545,1,0,1
49822,0,0,0
49879,1,0,0
50052,0,0,0
50164,0,0,0
50191,1,1,1
50741,0,1,1
50937,0,0,0
51078,0,0,0
51148,0,0,1
51343,0,0,0
51422,0,0,0
51503,0,0,0
51832,1,0,1
51833,1,0,1
51869,0,0,0
52105,0,0,0
52327,0,0,0
52328,1,0,1
52443,0,0,0
52797,NA,1,0
53346,0,0,0
53589,0,0,0
53829,0,0,0
54161,0,1,1
54328,NA,0,1
54813,1,0,0
55206,0,0,0
55417,1,1,1
55465,0,0,0
55990,0,0,0
56210,0,0,0
56906,0,1,1
57172,1,0,0
57184,0,0,0
57345,1,0,0
57449,1,1,1
57506,0,0,0
57751,0,0,0
57799,0,0,0
57871,1,1,0
58140,0,0,0
58233,1,1,1
58343,1,NA,1
59433,0,0,0
59532,0,0,0
59684,1,1,1
59893,1,1,0
59960,0,0,0
60054,0,1,1
60100,0,0,0
60247,1,0,1
60704,0,0,1
60954,1,0,1
60979,1,0,1
61196,0,0,0
61570,0,0,0
62254,0,0,0
62367,1,1,0
62451,1,0,0
62740,0,0,1
62799,0,1,1
62889,1,1,0
62957,1,0,1
63570,1,1,0
63653,0,1,1
63724,1,0,1
64092,0,0,0
64162,0,0,1
64176,1,0,0
64721,0,0,0
64736,0,0,0
64925,1,1,0
65075,1,0,1
65530,0,0,0
65679,0,0,0
65722,0,0,0
65868,0,0,0
66064,0,0,0
66460,0,0,0
66514,0,0,0
66611,0,0,0
66612,1,0,1
67221,1,1,1
67236,0,0,0
67350,1,0,1
67446,1,0,NA
67479,1,0,0
67560,0,0,0
67601,0,0,0
69810,0,0,0
69817,0,0,0
70257,0,0,0
70322,1,1,1
70426,1,1,1
70469,1,1,0
70567,0,1,1
