ID,year,债权融资额度,债权融资成本,股权融资额度,股权融资成本,内部融资和贸易融资额度,内部融资和贸易融资成本,项目融资和政策融资额度,项目融资和政策融资成本
28,2015,0,0,0,0,21648,1298.88,0,0
230,2015,0,0,0,0,0,0,470.4,28.224
429,2015,19340,1547.2,0,0,0,0,0,0
693,2015,0,0,0,0,0,0,5350.4,321.024
727,2015,0,0,32229.12,1289.1648,0,0,0,0
990,NA,0,0,0,0,0,0,675.2,40.512
1137,2015,0,0,0,0,24460.8,1467.648,0,0
1274,2015,0,0,11085.2,443.408,0,0,NA,0
1560,2015,0,0,5880,235.2,0,0,0,0
1873,2015,0,0,11007.36,440.2944,0,0,0,0
2260,2015,0,0,0,0,NA,0,11287.5,677.25
2694,2015,0,0,0,0,65828.7,3949.722,0,0
2992,2015,0,0,1708.8,68.352,0,0,0,0
3261,2015,0,0,0,0,0,0,16680,1000.8
3313,2015,0,0,86275.2,3451.008,0,0,0,0
3537,2015,0,0,0,0,NA,0,356,21.36
3719,2015,0,0,0,0,0,0,12680,760.8
3720,2015,0,0,7142.4,285.696,0,0,0,0
3742,2015,0,0,0,0,0,0,2325,139.5
3770,2015,11568,925.44,0,0,0,0,0,0
4107,2015,0,0,0,0,60568.2,3634.092,0,0
4321,2015,0,0,0,0,0,0,7461,447.66
4911,2015,57260,4580.8,0,0,0,0,0,0
5267,2015,724,57.92,0,0,0,0,0,0
5646,2015,0,0,0,0,4140,248.4,0,0
6172,2015,0,0,8996.4,359.856,0,0,0,0
6357,2015,0,0,4701.2,188.048,0,0,0,0
6370,2015,2832,226.56,0,0,0,0,0,0
7662,2015,0,0,47000,1880,0,0,0,0
7706,2015,0,0,1030.08,41.2032,0,0,0,0
7824,2015,0,0,0,0,34257.6,2055.456,0,0
7865,2015,0,0,0,0,700161,42009.66,0,0
8444,2015,0,0,1203.2,48.128,0,0,0,0
8492,2015,1248,99.84,0,0,0,0,0,0
8608,2015,0,0,8149.8,325.992,0,0,0,0
8663,2015,0,0,4371.84,NA,0,0,0,0
8854,2015,0,0,0,0,NA,27060.48,0,0
8872,2015,0,0,124320,4972.8,0,0,0,0
8972,2015,0,0,0,0,0,0,202.4,12.144
9095,2015,0,0,528,21.12,0,0,0,0
9124,2015,0,0,0,0,475.2,28.512,0,0
9476,2015,0,0,0,0,0,0,3767.4,226.044
9542,2015,0,0,0,0,0,0,2076,124.56
9663,2015,0,0,0,0,0,0,1692,101.52
9998,2015,9720,777.6,0,0,0,0,0,0
10470,2015,0,0,0,0,53860.8,3231.648,0,0
10813,2015,0,0,0,0,0,0,2482.5,148.95
10869,2015,30162,2412.96,0,0,NA,0,0,0
10994,2015,0,0,0,0,243972,14638.32,0,0
10995,2015,0,0,89241.6,3569.664,0,0,0,0
10999,2015,7308,584.64,0,0,0,0,0,0
11796,2015,0,0,0,0,0,0,1980.8,118.848
12192,2015,3384,270.72,0,0,0,0,0,0
12233,2015,0,0,1056,42.24,0,0,0,0
12404,2015,0,0,NA,684,0,0,0,NA
12418,2015,0,0,216,8.64,0,0,0,0
12660,2015,0,0,0,0,0,0,1720,103.2
13491,2015,0,0,0,0,0,0,1896,113.76
13593,2015,0,0,1252.8,50.112,0,0,0,NA
13957,2015,31083,2486.64,0,0,0,0,0,0
14254,2015,0,0,0,0,7920,475.2,0,0
14485,2015,0,0,0,0,201001.5,12060.09,0,0
14520,2015,0,0,0,0,0,0,550,33
14555,2015,0,0,265.2,10.608,0,0,0,0
15099,2015,4878,390.24,0,0,0,0,0,0
15197,2015,0,0,34874.28,1394.9712,0,0,0,0
15385,2015,0,0,0,0,0,0,2673,160.38
15416,2015,0,0,4521.6,180.864,0,0,0,0
15685,2015,2795,223.6,0,0,0,0,0,0
15886,2015,0,0,0,0,0,0,2520,151.2
16069,2015,0,0,399.36,15.9744,0,0,0,0
16326,2015,0,0,0,0,0,0,256.8,15.408
16758,2015,920,73.6,0,0,0,0,0,0
16884,2015,NA,0,0,0,0,0,5479.5,328.77
16999,2015,0,0,0,0,0,0,4983,298.98
17641,2015,0,0,0,0,82656,4959.36,0,0
17646,2015,0,0,0,0,0,0,5096,305.76
18216,2015,0,0,22842,913.68,0,0,0,0
18366,2015,0,0,642.6,25.704,0,0,0,0
18509,2015,15696,1255.68,0,0,0,0,0,0
18837,2015,16848,1347.84,0,0,0,0,0,0
18932,2015,0,0,0,0,0,0,497,29.82
19112,2015,0,0,0,0,0,0,16087.5,965.25
19317,2015,2256,180.48,0,0,0,0,0,0
19501,2015,3888,311.04,0,0,0,0,0,0
19559,2015,0,0,1197,47.88,0,0,0,0
19651,2015,0,0,0,0,0,0,277.2,16.632
19876,2015,0,0,0,0,0,0,598.8,35.928
20333,2015,3510,280.8,0,0,0,0,0,0
20540,2015,0,0,0,0,0,0,2240,134.4
20686,2015,NA,0,0,0,0,0,5356.8,321.408
20812,2015,0,0,4500,180,0,0,0,0
20853,2015,0,0,0,0,11295.9,677.754,0,0
20921,2015,35238,2819.04,0,0,0,0,0,0
21044,2015,0,0,0,0,75103.2,4506.192,0,0
21593,2015,11256,900.48,0,0,0,0,0,0
21913,2015,0,0,0,0,15912,954.72,0,0
21933,2015,0,0,0,0,186165,11169.9,0,0
21985,2015,0,0,0,0,0,0,68.4,4.104
22166,2015,0,0,0,0,0,0,2835,170.1
22549,2015,0,0,0,0,95961.6,5757.696,0,0
22785,2015,0,0,0,0,182625.3,10957.518,0,0
22869,2015,0,0,11226.6,449.064,0,0,0,0
23208,2015,0,0,0,0,67158,4029.48,0,0
23245,2015,0,0,0,0,0,0,4224,253.44
23491,2015,0,0,16558.08,662.3232,0,0,0,0
23961,2015,1192,95.36,0,0,0,0,0,0
24265,2015,0,0,4872.16,194.8864,0,0,0,0
24611,2015,46608,3728.64,0,0,0,0,0,0
24623,2015,0,0,0,0,0,0,3100,186
25111,2015,3500,280,0,0,0,0,0,0
25208,2015,30404,2432.32,0,0,0,0,0,0
25529,2015,0,0,0,0,0,0,1248,74.88
25732,2015,20790,1663.2,0,0,0,0,0,0
25947,2015,21240,1699.2,0,0,0,0,0,0
26293,2015,3660,292.8,0,0,0,0,0,0
26448,2015,0,0,0,0,62092.8,3725.568,0,0
26730,2015,0,0,0,0,0,0,4500,270
26885,2015,22368,1789.44,0,0,0,0,0,0
26888,2015,5982,478.56,0,0,0,0,0,0
27003,2015,9828,786.24,0,0,0,0,0,0
27258,2015,891,71.28,0,0,0,0,0,0
27622,2015,0,0,12132.96,485.3184,0,0,0,0
27678,2015,0,0,717.6,28.704,0,0,0,0
27935,2015,0,0,0,0,44712,2682.72,0,0
28415,2015,0,0,0,0,101571.6,6094.296,0,0
28529,2015,0,0,3112,124.48,0,0,0,0
29118,2015,0,0,3198,127.92,0,0,0,0
29357,2015,0,0,16652.16,666.0864,0,0,0,0
29403,2015,11916,953.28,0,0,0,0,0,0
29427,2015,0,0,7418.88,296.7552,0,0,0,0
29593,2015,17200,1376,0,0,0,0,0,0
29601,2015,0,0,0,0,0,0,199.2,11.952
29967,2015,0,0,0,0,50004,3000.24,0,0
29976,2015,0,0,0,0,71030.4,4261.824,0,0
28,2016,0,0,34686,1387.44,0,0,0,0
230,2016,0,0,0,0,46771.2,2806.272,0,0
429,2016,0,0,26592.5,1063.7,0,0,0,0
693,2016,0,0,0,0,55176,3310.56,0,0
727,2016,0,0,0,0,145188,8711.28,0,0
990,2016,0,0,0,0,22788,1367.28,0,0
1137,2016,9408,752.64,0,0,0,0,0,0
1274,2016,0,0,0,0,77040,4622.4,0,0
1560,2016,0,0,0,0,168000,10080,0,0
1873,2016,0,0,0,0,80262,4815.72,0,0
2260,2016,0,0,650.16,26.0064,0,0,0,0
2694,2016,1944,155.52,0,0,0,0,0,0
2992,2016,0,0,0,0,9371.7,562.302,0,0
3261,2016,17792,1423.36,0,0,0,0,0,0
3313,2016,0,0,0,0,706252.8,42375.168,0,0
3537,2016,0,0,0,0,0,0,133.5,8.01
3719,NA,0,0,0,0,81595.8,4895.748,0,0
3720,2016,3328,266.24,0,0,0,0,0,0
3742,2016,0,0,0,0,0,0,2790,167.4
3770,2016,0,0,0,0,18798,1127.88,0,0
4107,2016,0,0,0,0,603288,36197.28,0,0
4321,2016,0,0,49242.6,1969.704,0,0,0,0
4911,2016,61350,4908,0,0,0,0,0,0
5267,2016,0,0,0,0,0,0,724,43.44
5646,2016,0,0,0,0,0,0,220.8,13.248
6172,2016,0,0,0,0,18345.6,1100.736,0,0
6357,2016,0,0,109500,4380,0,0,0,0
6370,2016,0,0,2230.2,89.208,0,0,0,0
7662,2016,31020,2481.6,0,0,0,0,0,0
7706,2016,522,41.76,0,0,0,0,0,0
7824,2016,11895,951.6,0,0,0,0,0,0
7865,2016,0,0,11223.36,448.9344,0,0,0,0
8444,2016,2560,204.8,0,0,0,0,0,0
8492,2016,0,0,0,0,0,0,561.6,33.696
8608,2016,0,0,61171.44,2446.8576,0,0,0,0
8663,2016,0,0,2760,110.4,0,0,0,0
8854,2016,0,0,17570.52,702.8208,0,0,0,0
8872,2016,66600,5328,0,0,0,0,0,0
8972,2016,0,0,0,0,15897.6,953.856,0,0
9095,2016,5940,475.2,0,0,0,0,0,0
9124,2016,0,0,0,0,0,0,38.4,2.304
9476,2016,0,NA,0,0,0,0,5409.6,324.576
9542,2016,0,0,0,0,0,0,1557,93.42
9663,2016,0,0,0,0,57189.6,3431.376,0,0
9998,2016,0,0,0,0,0,0,2268,136.08
10470,2016,0,0,6265.44,250.6176,0,0,0,0
10813,NA,0,0,5719.68,228.7872,0,0,0,0
10869,2016,0,0,0,0,36194.4,2171.664,0,0
10994,2016,0,0,36144,1445.76,0,0,0,0
10995,2016,0,0,24651,986.04,0,0,0,0
10999,2016,0,0,0,0,0,0,5220,313.2
11796,2016,16713,1337.04,0,0,0,0,0,0
12192,2016,0,NA,6226.56,249.0624,0,0,0,0
12233,2016,0,0,0,0,0,0,264,15.84
12404,2016,0,0,0,0,92340,5540.4,NA,0
12418,2016,3840,307.2,0,0,0,0,0,0
12660,2016,0,0,30960,1238.4,0,0,0,0
13491,2016,0,0,1279.8,51.192,0,0,0,0
13593,2016,0,0,5503.68,220.1472,0,0,0,0
13957,2016,0,0,0,0,0,0,16737,1004.22
14254,2016,0,0,0,0,0,0,12100,726
14485,2016,0,0,7090,283.6,0,0,0,0
14520,2016,0,0,0,0,16698,1001.88,0,0
14555,2016,0,0,1099.8,43.992,0,0,0,0
15099,2016,0,0,13008,520.32,0,0,0,0
15197,2016,0,0,0,0,395400,23724,0,0
15385,2016,3888,311.04,0,0,0,0,0,0
15416,2016,26376,2110.08,0,0,0,0,0,0
15685,2016,15050,1204,0,0,0,0,0,0
15886,2016,0,0,0,0,0,0,810,48.6
16069,2016,864,69.12,0,0,0,0,0,0
16326,2016,0,0,4526.1,181.044,0,0,0,0
16758,2016,2208,176.64,0,0,0,0,0,0
16884,2016,0,0,0,0,0,0,4720.8,283.248
16999,2016,0,0,0,0,0,0,27180,1630.8
17641,2016,8610,688.8,0,0,0,0,0,0
17646,2016,0,0,0,0,0,0,4777.5,286.65
18216,2016,0,0,68040,2721.6,0,0,0,0
18366,2016,0,0,1147.5,45.9,0,0,0,0
18509,2016,0,0,0,0,0,0,3400.8,204.048
18837,2016,18720,1497.6,0,0,0,0,0,0
18932,2016,0,0,0,0,1533.6,92.016,0,0
19112,2016,0,0,0,0,0,0,7020,421.2
19317,2016,0,0,2538,101.52,0,0,0,0
19501,2016,0,0,0,0,0,0,1053,63.18
19559,2016,13965,1117.2,0,0,0,0,0,0
19651,2016,8085,646.8,0,0,0,0,0,0
