ID,year,从业人数,资产总额,负债总额,营业总收入,主营业务收入,利润总额,净利润,纳税总额,所有者权益合计
28,2015,794,16400,28700,72160,28864,7216,-7216,0,-12300
230,2015,485,23520,10080,115248,57624,57624,-11524.8,0,13440
429,2015,136,193400,183730,502840,351988,NA,-50284,0,9670
693,2015,534,133760,125400,655424,262169.6,196627.2,-65542.4,0,8360
727,2015,375,366240,536280,402864,282004.8,161145.6,-40286.4,0,-170040
990,2015,863,33760,25320,145168,58067.2,14516.8,-14516.8,0,8440
1137,2015,289,NA,40320,81536,57075.2,32614.4,-8153.6,0,-11200
1274,2015,254,74900,104325,277130,110852,55426,-27713,0,-29425
1560,2015,491,105000,98000,147000,73500,29400,-14700,0,7000
1873,2015,889,229320,222950,137592,55036.8,55036.8,-13759.2,0,6370
2260,2015,689,225750,325080,1128750,564375,338625,-112875,0,-99330
2694,2015,258,51030,48600,219429,131657.4,87771.6,-21942.9,0,2430
2992,2015,114,106800,104130,42720,21360,8544,-4272,0,2670
3261,2015,799,417000,822880,1751400,1401120,350280,-175140,0,-405880
3313,2015,784,501600,986480,2156880,1294128,431376,-215688,0,-484880
3537,2015,647,17800,13350,8900,4450,2670,-890,0,4450
3719,2015,369,317000,465990,380400,228240,152160,-38040,0,-148990
3720,2015,640,38400,37760,119040,83328,35712,-11904,0,640
3742,2015,52,116250,162750,139500,83700,41850,-13950,0,-46500
3770,2015,405,115680,106040,69408,55526.4,34704,-6940.8,0,9640
4107,2015,455,87780,79800,201894,161515.2,100947,-20189.4,0,7980
4321,2015,676,248700,480820,1193760,716256,596880,-119376,0,-232120
4911,2015,860,572600,846630,2118620,1483034,847448,-211862,0,-274030
5267,2015,878,7240,8145,724,579.2,144.8,-72.4,0,-905
5646,2015,417,5750,8280,13800,9660,4140,-1380,0,-2530
6172,2015,957,44100,85260,149940,104958,44982,-14994,0,-41160
6357,2015,888,102200,49275,235060,164542,23506,-23506,0,52925
6370,2015,987,28320,40710,93456,65419.2,28036.8,-9345.6,0,-12390
7662,2015,455,470000,921200,1175000,NA,235000,-117500,0,-451200
7706,2015,253,4640,4060,17168,12017.6,5150.4,-1716.8,0,580
7824,2015,103,63440,55510,114192,79934.4,22838.4,-11419.2,0,7930
7865,2015,753,476300,935280,2333870,NA,933548,-233387,0,-458980
8444,2015,525,2560,0,12032,8422.4,6016,-1203.2,0,2560
8492,2015,324,12480,10400,19968,13977.6,7987.2,-1996.8,0,2080
8608,2015,918,79900,107865,135830,108664,40749,-13583,0,-27965
8663,2015,873,33120,48300,109296,65577.6,21859.2,-10929.6,0,-15180
8854,2015,82,313200,458055,1503360,902016,751680,-150336,0,-144855
8872,2015,NA,621600,612720,1243200,497280,621600,-124320,0,8880
8972,2015,932,20240,28980,8096,4048,2428.8,-809.6,0,-8740
9095,2015,1000,264000,514800,26400,15840,2640,-2640,0,-250800
9124,2015,865,1440,1440,1584,950.4,792,-158.4,0,0
9476,2015,258,376740,367080,1808352,904176,723340.8,-180835.2,0,9660
9542,2015,278,69200,30275,117640,70584,47056,-11764,0,38925
9663,2015,704,84600,41595,338400,169200,NA,-33840,0,43005
9998,2015,268,97200,44550,476280,238140,47628,-47628,0,52650
10470,2015,729,36640,32060,179536,89768,17953.6,-17953.6,NA,4580
10813,2015,437,248250,476640,24825,14895,12412.5,-2482.5,0,-228390
10869,2015,307,301620,292480,1176318,823422.6,470527.2,-117631.8,0,9140
10994,2015,308,271080,395325,813240,406620,243972,-81324,0,-124245
10995,2015,387,278880,136950,892416,446208,446208,-89241.6,0,141930
10999,2015,972,73080,35670,7308,4384.8,3654,-730.8,0,37410
11796,2015,930,49520,21665,133704,66852,40111.2,-13370.4,0,27855
12192,2015,823,33840,15510,67680,33840,27072,-6768,0,18330
12233,2015,866,22000,39600,52800,42240,5280,-5280,0,-17600
12404,2015,648,57000,102600,285000,171000,85500,-28500,0,-45600
12418,2015,819,21600,10560,2160,1080,1080,-216,0,11040
12660,2015,163,86000,38700,111800,67080,44720,-11180,0,47300
13491,2015,521,37920,49770,151680,60672,15168,-15168,0,-11850
13593,2015,20,4320,3960,12528,10022.4,6264,NA,0,360
13957,2015,186,310830,151430,1460901,584360.4,438270.3,-146090.1,NA,159400
14254,2015,726,88000,41800,26400,21120,2640,-2640,0,46200
14485,2015,742,319050,623920,670005,469003.5,268002,-67000.5,0,-304870
14520,2015,581,11000,14850,31900,25520,9570,-3190,0,-3850
14555,2015,871,3900,3250,13260,6630,1326,-1326,0,650
15099,2015,36,48780,69105,39024,23414.4,15609.6,-3902.4,0,-20325
15197,2015,501,177930,257010,871857,610299.9,174371.4,-87185.7,0,-79080
15385,2015,752,53460,77760,10692,5346,4276.8,-1069.2,0,-24300
15416,2015,523,113040,51810,113040,45216,22608,-11304,0,61230
15685,2015,273,27950,25800,16770,8385,6708,-1677,0,2150
15886,2015,526,50400,49500,85680,59976,8568,-8568,0,900
16069,2015,788,1920,1440,4992,2995.2,1996.8,-499.2,0,480
16326,2015,920,6420,4815,22470,17976,11235,-2247,0,1605
16758,2015,610,9200,4140,33120,16560,3312,-3312,0,5060
16884,2015,872,547950,539520,2246595,1123297.5,1123297.5,-224659.5,0,8430
16999,2015,767,498300,489240,1993200,996600,199320,-199320,0,9060
17641,2015,899,114800,109060,275520,137760,137760,-27552,0,5740
17646,2015,724,127400,121030,12740,10192,5096,-1274,0,6370
18216,2015,466,243000,352350,1142100,685260,114210,-114210,0,-109350
18366,2015,273,15300,13770,32130,25704,3213,-3213,0,1530
18509,2015,475,156960,75210,596448,298224,59644.8,-59644.8,0,81750
18837,2015,128,168480,159120,16848,11793.6,3369.6,-1684.8,0,9360
18932,2015,898,24850,48280,12425,6212.5,6212.5,-1242.5,0,-23430
19112,NA,937,321750,315900,836550,501930,83655,-83655,0,5850
19317,2015,237,22560,21150,24816,14889.6,7444.8,-2481.6,0,1410
19501,2015,91,38880,55890,151632,106142.4,60652.8,-15163.2,0,-17010
19559,2015,528,23940,9975,59850,29925,5985,-5985,0,13965
19651,2015,709,13860,NA,56826,34095.6,11365.2,-5682.6,0,-3465
19876,2015,851,59880,74850,101796,40718.4,50898,-10179.6,0,-14970
20333,2015,320,35100,17280,38610,30888,11583,-3861,0,17820
20540,2015,680,112000,165000,448000,268800,44800,-44800,0,-53000
20686,2015,519,133920,257920,NA,337478.4,96422.4,-48211.2,0,-124000
